poi_id,name,latitude,longitude,district_id
1,Боровицкие ворота,55.7489442,37.6124101,1
3,Кириллу и Мефодию,55.7546114,37.6339331,1
4,108 Minutes,55.739982,37.62611806,4
5,17/3 Capsule hotel and lounge,55.763842,37.614545,5
6,Юрию Долгорукому,55.7618096,37.6101609,1
11,Царь-пушка,55.7514667,37.6179211,1
16,5 Небо,55.75774,37.63342,14
17,О. Н. Ефремову,55.7593714,37.6111279,1
18,7 слонов,55.75773,37.63255,14
22,В. Г. Шухову,55.7661206,37.635674,14
23,А. С. Грибоедову,55.7644614,37.639259,15
24,Н. К. Крупской,55.7666224,37.6322918,14
25,В. С. Высоцкому,55.7681702,37.6129196,1
26,А. С. Пушкину,55.7653354,37.6054856,1
27,ALL MUSIC Hostel №1 Маяковская,55.771147,37.60126,5
28,Александру II,55.7457521,37.6068567,9
32,ApeironSpace,55.748518,37.627229,4
33,Apple Dream Hotel,55.730462,37.626432,4
34,Arbatnine,55.75156,37.5979,26
35,Art Apart Hotel Moscow,55.771335,37.612586,5
39,Н. Г. Чернышевскому,55.7590661,37.6471132,15
41,Axel Hostel,55.737912,37.640183,4
42,Axel Hotel & Hostel,55.757308,37.646597,14
43,Axis Moscow,55.75152,37.59767,26
44,Axis Moscow Colors,55.772855,37.620248,5
45,Axis.Moscow Island,55.73757,37.64206,4
49,Balchug Viewpoint Hotel,55.746588,37.62801,4
50,Barin Residence Centre,55.747629,37.627543,4
51,Barin Residence Grand,55.76158,37.63204,16
52,Barin Residence Myasnitskaya,55.761512,37.631954,16
53,Barista Bed&Breakfast,55.75776797642852,37.6506,14
55,Нулевой километр,55.755847,37.6177036,1
59,Bercy Arbat Hotel,55.753119,37.591566,26
60,Малый Власьевский переулок,55.747257,37.5928611,9
64,Brick Design Отель,55.76328,37.63634,14
67,Brizal,55.76398,37.60867,5
68,Bulgakov Residence,55.764782,37.599255,5
74,Capital Guest House,55.740169,37.626205,4
75,Caps Hotel,55.744764,37.599094,33
76,Caps Hotel на Остоженке,55.742767,37.600801,33
77,Centeral Hotel,55.764222,37.618075,5
79,Che Hotel,55.771238502086575,37.603,5
80,Cheers,55.75571,37.60199,15
81,CHEERS Capsule Place,55.755586,37.602292,15
86,City Garden Hotel Taganskaya,55.748042,37.655032,27
88,City Life Hotel,55.768306,37.634313,16
89,CODE Coliving,55.742367,37.617339,38
90,Come Inn,55.7375,37.63477,4
94,Courtyard Петровка,55.76473,37.61503,5
97,Crossroads,55.739,37.64391,4
98,Crowne Plaza Moscow Tretyakovskaya,55.73938,37.63666,4
101,Cube,55.753909,37.585655,26
102,Жилой дом на Котельнической набережной,55.7470836,37.6426543,20
103,Custos Petrovsky,55.76832,37.61482,5
106,Галерея искусства стран Европы и Америки XIX—XX веков,55.7464881,37.6053051,9
108,Государственный музей А.С.Пушкина,55.7440686,37.5968988,9
110,Троицкие ворота,55.7523171,37.6142924,1
111,Государственный центральный театральный музей им. А. А. Бахрушина,55.7317886,37.6380937,52
114,Diplomat Residence,55.733303,37.616682,38
121,Eden Hotel,55.753899,37.637982,14
124,Царь-пушка,55.7514667,37.6179211,1
125,Eliseevsky Hotel,55.76337,37.60791,5
126,Г. К. Жукову,55.7558556,37.6168327,1
127,Царь-колокол,55.7507674,37.6184371,1
128,Evans,55.761852,37.640866,14
130,Florinn,55.76433907334179,37.6084,5
132,Forton,55.730613,37.619306,38
133,Four Seasons Hotel Moscow,55.75659,37.61655,5
135,А. С. Пушкину,55.7653354,37.6054856,1
138,Galina's Flat,55.763356,37.646795,14
139,Gallery,55.73326,37.62547,4
148,GloryVell,55.76643,37.61655,5
149,Golden Horse,55.75952600541351,37.6311,14
152,Gostika,55.765718,37.59111,15
154,Grada Boutique Hotel,55.761041,37.617231,5
155,Grand Hotel Felix,55.764962,37.61485,5
163,Grossotel,55.738313,37.604786,33
167,Guest Room SAD 2,55.769484,37.622747,50
168,Guest Room SAD 3,55.765909,37.632125,16
170,Н. В. Гоголю,55.7539357,37.5997708,3
171,Hanzer,55.769553,37.630357,50
172,Happy,55.76519,37.60855,5
173,Happy (Paradise) на Новом Арбате,55.75294375582701,37.5926,26
178,Heart of Moscow на Смоленке,55.74052095956441,37.5864,33
179,Heritage,55.763467,37.635305,16
185,пограничникам Отечества,55.7490395,37.6426122,20
189,Hotel Continental,55.767423,37.601178,5
190,Карлу Марксу,55.7583717,37.6195803,1
192,Hotel Pokrovka-48,55.763297,37.654859,14
