poi_id,name,latitude,longitude,district_id
32,ApeironSpace,55.748518,37.627229,1
97,Crossroads,55.739,37.64391,1
98,Crowne Plaza Moscow Tretyakovskaya,55.73938,37.63666,1
480,Viewpoint City Center Hotel,55.74662,37.62878,1
519,Адажио Москва Павелецкая,55.73609,37.63561,1
537,Алеон,55.73024,37.62615,1
650,Балчуг Кемпински Москва,55.74832,37.62598,1
680,БонАпарт,55.74277,37.632114,1
814,Гестен,55.746096,37.631335,1
917,Ибис Москва Центр Бахрушина,55.73584,37.63542,1
1001,Комфорт Москва,55.74157,37.62793,1
1145,Медея,55.743153,37.629642,1
1151,Мери Поппинс,55.73878,37.62851,1
1153,Мери Поппинс на Пятницкой 20,55.74168,37.62761,1
1157,Меркюр Москва Павелецкая,55.73602,37.63595,1
1255,На Павелецкой,55.73817,37.63968,1
1487,Рихтер,55.73779,37.62792,1
1567,Ситикомфорт на Новокузнецкой,55.745501,37.628111,1
